,vintage,age,dependents,city,customer_nw_category,days_since_last_transaction,current_balance,previous_month_end_balance,average_monthly_balance_prevQ,average_monthly_balance_prevQ2,current_month_credit,previous_month_credit,current_month_debit,previous_month_debit,current_month_balance,previous_month_balance,churn,gender_cat,occupation_cat,branch_code_cat
13,5703,50,0.0,409.0,1,303.0,4548.48,3526.01,2831.89,8075.81,0.61,0.61,1748.08,2529.75,2985.16,1536.98,0,1,2,83
14,2314,48,0.0,665.0,2,52.0,5431.42,5489.14,6532.99,7720.34,0.66,661.73,0.66,2811.53,5437.04,6633.94,1,0,3,519
15,1934,51,0.0,1232.0,3,31.0,2010.98,1994.84,1829.43,2415.57,0.16,0.16,128.66,360.7,1960.91,1840.23,0,0,3,136
16,2723,49,0.0,1125.0,3,0.0,1448.49,3183.27,3021.27,1710.93,190.71,113.64,2461.66,1257.41,1950.95,3127.0,1,1,3,906
17,6111,52,0.0,1096.0,2,3.0,5292.13,3804.06,3946.99,3931.91,3916.91,0.27,0.27,16.7,4158.66,3810.95,0,0,3,31
18,5821,47,1.0,146.0,1,69.0,3507.71,3965.26,4356.62,3623.2,0.56,0.56,71.99,8600.56,3605.4,4022.04,0,0,3,464
19,3500,41,0.0,1020.0,2,31.0,3042.7,3118.34,2843.98,2606.86,0.3,1986.01,104.44,1000.3,3101.18,2692.52,1,0,3,499
20,5724,45,0.0,1020.0,2,23.0,2.18,1198.35,5003.79,1223.6,79.79,70.73,3588.76,744.73,43.07,6859.18,1,1,3,468
21,2083,29,0.0,1020.0,2,31.0,4792.6,5149.74,5569.58,4826.6,0.47,0.47,357.61,786.19,5029.05,5744.21,1,0,3,980
22,3101,41,0.0,905.0,2,13.0,8358.47,7715.61,7819.06,7666.74,643.24,0.39,0.39,0.39,8025.96,7715.61,0,0,3,1182
23,1897,34,0.0,931.0,2,4.0,2497.52,1401.93,1657.7,2357.17,2072.09,0.66,1191.06,1786.37,1185.47,2098.38,0,1,3,609
24,754,48,2.0,218.0,2,47.0,2596.21,3023.7,4867.68,7592.46,0.6,12.45,635.56,6069.1,2847.25,4957.86,1,1,2,203
25,606,76,0.0,1533.0,3,31.0,14289.26,14289.26,14289.26,14443.43,0.64,0.64,0.64,0.64,14289.26,14289.26,0,1,3,787
26,2620,36,2.0,1563.0,1,20.0,20273.43,23106.03,26221.15,5594.83,7.83,722.68,853.09,1557.17,21741.48,25504.19,0,1,3,57
27,1391,56,0.0,836.0,3,9.0,7111.29,6971.29,7040.32,7298.14,143.26,0.4,3.26,0.4,7019.56,6971.29,0,1,3,2092
28,4175,55,0.0,118.0,1,9.0,6424.46,7666.31,7003.05,6322.76,63.9,18898.87,165.46,14515.19,6499.62,8589.6,0,1,3,302
29,2204,33,0.0,834.0,2,31.0,6152.67,6161.67,6163.13,6156.28,0.11,0.11,0.11,0.11,6152.98,6165.44,0,0,2,13
30,6006,66,0.0,1096.0,1,27.0,972.57,10974.39,18028.94,8349.94,18598.44,0.57,192.4,77.77,32799.53,11022.7,1,1,1,3035
31,2963,64,0.0,1020.0,1,36.0,10701.32,10786.13,6119.39,2675.84,0.16,8454.72,384.97,857.3,10807.22,4819.38,0,0,1,59
32,1124,54,0.0,1366.0,2,31.0,3294.42,3294.42,3294.42,3273.68,0.36,0.36,0.36,0.36,3294.42,3294.42,0,1,3,714
33,2173,90,0.0,834.0,3,77.0,1210.46,2364.33,4672.78,6000.44,0.2,0.2,0.2,14.49,6461.22,2087.69,0,1,3,7
34,2671,9,0.0,623.0,2,31.0,4065.35,4065.35,4065.35,4039.6,0.34,0.34,0.34,0.34,4065.35,4065.35,0,1,4,475
35,2684,52,7.0,549.0,2,125.0,7613.61,8387.76,3587.43,3397.86,0.19,0.19,1090.94,16700.25,3656.3,5707.49,0,1,3,242
36,5803,51,0.0,630.0,2,5.0,226.9,179.76,2152.77,519.21,37471.69,3275.63,38711.36,4586.23,2756.47,1707.51,0,1,3,35
37,5579,54,3.0,1271.0,2,77.0,1436.71,1436.71,1436.64,1403.46,0.44,0.44,0.44,0.44,1436.71,1436.71,0,1,3,90
38,2350,47,0.0,834.0,2,10.0,5575.95,5230.81,5287.41,5404.32,357.8,0.66,0.66,0.66,5354.17,5243.52,0,1,3,998
39,4750,34,0.0,485.0,3,97.0,3295.17,3295.17,3518.82,3906.6,0.43,0.43,0.43,0.43,3295.17,3295.17,0,1,2,739
40,6834,69,0.0,146.0,2,3.0,13148.58,12725.72,12754.06,11908.97,423.47,0.61,0.61,0.61,12937.74,12725.72,0,1,1,16
41,282,90,0.0,1020.0,3,61.0,7870.87,7870.87,7265.1,4324.97,0.23,0.23,0.23,0.23,7870.87,7870.87,0,1,3,2536
42,1656,44,0.0,146.0,2,26.0,2021.8,12315.58,9044.84,13267.32,2.76,465.73,11557.01,16321.24,9190.74,12153.12,1,0,3,1740
43,2938,55,0.0,146.0,1,100.0,2899.7,3315.42,3568.09,3893.81,0.27,0.27,715.99,2328.84,3308.91,3918.18,0,0,3,473
44,2255,17,0.0,630.0,2,47.0,849.37,906.51,1496.26,2016.94,0.01,1216.86,0.01,2142.87,896.66,1670.84,0,0,4,35
45,3168,48,2.0,579.0,2,7.0,6792.03,2075.19,3944.52,779.19,16642.73,10147.4,11925.89,10303.49,6495.58,2370.54,0,1,3,2883
46,4526,41,0.0,52.0,2,11.0,1540.21,1536.52,1577.99,1795.98,1428.73,7828.73,3928.73,7143.01,751.91,2606.82,0,1,3,593
47,937,4,0.0,318.0,3,160.0,5717.13,5752.87,5734.71,5368.97,0.1,0.1,107.26,0.1,5700.39,5752.87,0,1,4,1110
48,3428,52,3.0,1002.0,2,14.0,3854.44,3402.88,7996.88,17827.68,1428.76,1428.76,78.33,10552.2,3300.27,7293.4,1,1,3,280
49,1776,30,0.0,409.0,2,7.0,3585.62,16242.22,14497.05,16252.35,3260.71,0.67,14617.16,1743.53,11112.23,16259.74,1,0,3,1814
50,1957,45,0.0,1096.0,2,31.0,9885.21,9885.21,9885.21,9821.38,0.17,0.17,0.17,0.17,9885.21,9885.21,0,0,3,414
51,2701,43,0.0,480.0,3,95.0,4474.38,6617.24,7897.49,8096.35,0.51,0.51,2143.37,2714.8,5434.97,8096.5,0,1,2,227
52,1916,65,0.0,1494.0,2,17.0,1443.95,1560.6,1499.63,1323.69,328.86,328.86,416.93,294.44,1547.19,1565.14,0,1,3,852
53,2292,34,0.0,146.0,3,3.0,21252.86,20848.89,21926.19,18861.56,782.48,0.47,344.44,1912.35,20721.47,21741.64,0,1,3,329
54,4843,51,0.0,1020.0,2,20.0,894.72,610.75,2002.71,1029.63,487.46,487.46,120.31,3334.6,871.43,1369.55,0,0,3,14
55,2380,72,0.0,485.0,3,31.0,1499.55,1499.55,1499.55,1490.06,0.31,0.31,0.31,0.31,1499.55,1499.55,0,0,3,644
56,734,44,0.0,759.0,3,0.0,91.47,926.03,2839.76,220.68,957.8,1429.23,0.66,14936.37,806.65,3892.54,1,1,3,2189
57,1040,19,0.0,834.0,2,5.0,2788.4,1945.72,2121.84,3567.85,1022.96,0.54,180.28,15.9,2109.38,1957.62,0,0,4,2384
58,2622,43,0.0,491.0,3,7.0,3365.16,1936.59,1672.36,1111.34,1429.27,714.99,0.7,0.7,2281.42,1660.25,0,0,3,556
59,4995,49,1.0,814.0,2,116.0,3373.21,3377.04,5647.25,8408.92,0.54,0.54,0.54,4286.26,3373.74,5900.63,0,1,3,79
60,1037,68,0.0,1111.0,2,76.0,4091.66,3911.4,3817.38,3687.68,0.2,0.2,0.2,143.06,3948.7,3940.44,0,0,3,83
61,4870,45,0.0,1322.0,2,11.0,12039.77,11695.56,11506.59,8441.8,342.91,285.77,0.06,0.06,11935.11,11566.53,0,1,2,163
62,704,45,0.0,15.0,2,18.0,6036.9,5104.17,4925.66,2604.71,947.69,947.69,0.67,572.1,5688.03,4772.01,0,0,3,795
63,451,13,0.0,1589.0,3,3.0,6926.41,4724.56,4217.47,2547.56,2202.39,1500.53,0.53,1429.1,5073.02,4687.69,0,1,4,2112
64,5096,67,2.0,1111.0,2,28.0,1578.21,14771.27,4654.6,5792.17,41.06,809.42,13250.07,2640.42,6407.25,4753.54,0,1,3,137
65,5550,76,0.0,1020.0,2,20.0,1050.3,980.14,2147.51,2587.58,1498.99,5857.4,1428.83,7143.11,1833.64,2371.85,0,0,3,46
66,2709,60,2.0,1178.0,2,25.0,5065.29,5493.38,5517.33,6507.79,65.8,65.8,493.89,65.31,5289.17,5493.32,0,1,3,487
67,3952,79,0.0,1020.0,2,25.0,15942.78,16707.64,16215.43,21975.14,604.96,487.74,1286.36,1244.91,16115.08,16619.75,0,0,3,418
68,1043,21,0.0,745.0,1,173.0,7151.46,7151.46,7132.17,6939.37,0.4,0.4,0.4,0.4,7151.46,7151.46,0,1,4,1654
69,434,57,2.0,491.0,2,5.0,27970.63,30174.91,29183.26,31724.2,5970.89,14968.34,5395.31,9534.1,27609.06,26970.91,0,1,3,559
70,761,27,1.0,1525.0,2,46.0,431.67,3572.74,2623.92,394.73,0.37,5714.66,3191.36,7339.07,1546.76,4973.61,1,1,3,181
71,1140,71,0.0,1404.0,1,5.0,4330.29,3813.46,4213.59,4163.72,628.73,0.16,0.16,0.16,4022.64,4179.8,0,1,1,2695
72,5621,47,2.0,1494.0,1,7.0,11902.1,17154.34,22557.45,26515.79,9490.71,40227.94,14028.67,59542.94,9599.97,26536.82,0,1,3,65
73,1390,61,0.0,318.0,3,25.0,2662.21,2590.78,2500.33,4217.13,143.46,183.14,72.03,0.6,2704.08,2575.33,0,1,2,2389
74,6244,70,0.0,1020.0,1,0.0,54686.7,19568.0,20354.78,56390.75,53551.68,1804.39,17864.3,73.01,27917.15,17771.8,0,1,2,0
75,765,26,0.0,698.0,3,19.0,2585.29,2013.86,2145.23,2001.11,571.57,0.14,0.14,0.14,2407.95,2013.86,0,0,3,213
76,1672,41,0.0,409.0,3,12.0,6209.34,747.55,2028.69,436.32,298.6,1515.79,1191.11,1925.96,5028.71,389.58,0,1,3,821
77,4237,32,0.0,575.0,1,6.0,39462.27,37735.69,39371.37,34742.38,6904.7,7065.39,3423.32,1973.06,41740.9,38821.4,0,1,2,2875
78,2053,55,2.0,146.0,2,5.0,4587.28,2396.64,3776.63,2877.55,6019.98,8614.97,4619.4,7526.69,5530.89,2620.73,0,1,2,1306
79,4630,58,2.0,17.0,2,18.0,2335.05,2163.62,2212.69,960.02,142.97,0.11,285.83,174.4,2174.46,2237.81,0,1,2,1540
80,762,40,0.0,745.0,3,138.0,9931.34,10074.2,10165.31,10167.53,0.4,0.4,0.4,0.4,10024.94,10161.76,0,0,3,1786
81,1206,65,0.0,619.0,3,13.0,3379.75,7713.06,5382.72,2313.62,10165.1,15515.99,10075.57,10638.66,4390.67,8821.53,0,1,3,1520
82,3422,63,0.0,630.0,2,20.0,11636.85,11239.9,9482.92,7835.2,242.66,281.03,1594.4,2291.33,10875.19,11022.47,0,0,3,1529
83,1106,26,0.0,1154.0,3,126.0,483.52,483.52,2032.88,6547.79,0.3,0.3,0.3,57.44,483.52,560.64,1,1,3,1490
84,6036,58,0.0,1096.0,1,6.0,10088.96,8180.5,7011.82,12760.62,1640.74,6.91,0.63,0.63,8626.56,8048.1,0,1,3,26
85,844,33,0.0,1477.0,2,20.0,3537.16,3137.31,3658.26,1726.28,471.97,1386.26,71.97,4871.97,3497.27,2805.97,0,1,3,2197
86,1395,53,0.0,775.0,3,49.0,12913.08,13185.93,11588.33,11725.2,0.16,4285.87,115.87,0.16,12926.87,11757.0,0,1,2,1856
87,4696,19,0.0,1096.0,1,69.0,3144.56,3145.98,2800.31,877.99,0.01,0.01,1.44,0.01,3145.84,3145.98,0,0,3,10
88,733,35,0.0,575.0,3,31.0,2870.63,2226.87,2205.3,5458.8,0.29,0.29,0.29,0.29,2757.94,2177.22,0,1,2,888
89,7159,41,0.0,1.0,2,230.0,3185.72,3185.72,3185.72,3173.23,0.67,0.67,0.67,0.67,3185.72,3185.72,0,1,3,4
90,6163,36,1.0,1020.0,1,45.0,6785.6,6395.65,10586.02,20127.88,0.3,0.91,541.43,1188.14,4882.4,7174.91,0,1,3,221
91,2964,30,0.0,58.0,2,75.0,3122.27,3148.7,3380.35,6022.71,0.47,0.47,0.47,0.47,3143.23,3148.7,0,1,2,719
92,1644,29,0.0,409.0,2,219.0,9013.52,8450.77,7659.27,6097.42,0.17,0.17,366.39,48.89,8201.65,7761.98,0,0,2,25
93,2839,74,0.0,146.0,2,70.0,2227.37,2355.94,1869.48,226.88,0.27,0.27,128.84,0.27,2333.78,2352.71,0,1,1,264
94,8459,67,0.0,1574.0,2,6.0,20741.22,18803.01,20449.11,16927.81,2780.11,2555.04,123.07,2000.03,21237.0,20533.91,0,0,2,1358
95,2629,26,0.0,318.0,3,30.0,1454.24,3187.91,1440.99,1260.99,0.34,1085.49,2877.35,410.67,2173.64,1634.38,1,1,3,34
96,463,32,0.0,1477.0,3,180.0,2429.18,3961.44,3826.64,4367.47,0.14,0.14,1428.71,114.43,3364.19,3994.93,1,0,3,2506
97,1794,71,0.0,800.0,3,31.0,2460.94,2460.94,2460.94,2445.36,0.29,0.29,0.29,0.29,2460.94,2460.94,0,1,1,100
98,1856,56,0.0,1534.0,2,39.0,22437.57,22627.3,14741.84,7979.38,0.39,14643.24,192.23,406.51,22436.48,13398.73,0,0,3,62
99,3142,43,3.0,834.0,2,0.0,10152.97,1699.27,3216.92,3063.66,11928.66,22783.16,3474.96,16261.1,5369.79,1571.78,0,1,3,1149
100,3541,90,0.0,1271.0,2,31.0,8215.16,8243.74,8237.17,8191.22,0.23,0.23,28.8,0.23,8224.03,8243.74,0,0,3,1050
101,4878,48,0.0,1525.0,2,0.0,2617.87,2864.08,3395.36,4774.91,554.89,554.89,782.59,1100.93,2728.8,3173.96,0,1,3,133
102,1643,72,0.0,1096.0,3,28.0,503.68,40156.71,2904.33,1870.52,4571.66,40000.23,45285.94,2071.66,502.25,5905.42,1,0,3,414
103,5501,75,0.0,1180.0,2,52.0,1555.37,7232.49,6392.32,10989.5,0.6,814.89,4664.03,3224.89,2312.52,7315.78,1,1,3,104
104,6825,70,3.0,1020.0,2,28.0,8191.35,1276.02,3410.48,2956.34,12291.5,3.27,779.37,683.13,8884.85,773.95,0,1,3,14
105,3191,43,1.0,1187.0,3,0.0,2859.86,5124.05,1545.74,62.65,9214.61,5000.33,306.04,0.33,2652.54,1850.66,0,1,3,714
106,302,39,0.0,465.0,3,259.0,8125.81,8125.81,8863.14,16568.76,0.01,0.01,0.01,0.01,8125.81,8125.81,0,0,3,2134
107,4198,34,0.0,1040.0,3,188.0,2597.77,2597.77,2597.77,8813.29,0.17,0.17,0.17,0.17,2597.77,2597.77,0,1,3,230
108,6952,49,0.0,318.0,3,95.0,1694.84,1821.79,2234.07,1473.98,0.56,0.56,128.94,889.61,1770.46,2206.02,1,0,3,97
109,670,38,0.0,1292.0,3,328.0,1792.97,1792.97,2405.06,3800.49,0.33,0.33,0.33,1290.59,1792.97,2034.84,1,1,3,2130
110,837,43,0.0,61.0,3,81.0,2488.77,2814.5,3060.89,654.45,0.66,0.66,0.66,1022.8,2646.02,3245.73,0,0,2,103
111,4129,36,0.0,1020.0,3,17.0,9572.43,11289.74,13374.35,5754.73,13.66,29.75,1538.06,4431.52,10517.75,14106.69,0,1,3,501
112,6107,62,0.0,656.0,2,3.0,16969.05,19368.4,19518.99,29687.98,41.39,257.7,2114.84,829.13,17888.1,20182.08,0,0,3,45
113,6941,54,0.0,1232.0,3,27.0,909.84,3171.61,2529.1,3696.6,1544.86,142.97,3324.87,2346.67,2592.86,2438.97,0,1,2,136
114,506,39,0.0,334.0,2,297.0,10864.4,10878.68,11340.54,11852.11,0.01,0.01,0.01,0.01,10869.81,11266.08,0,1,3,1614
115,1340,10,0.0,1185.0,3,100.0,107.99,822.27,1845.1,900.96,0.57,0.57,714.86,2143.43,526.71,2043.47,1,0,4,1913
116,722,67,0.0,107.0,2,31.0,1515.7,1515.7,1515.7,1506.1,0.16,0.16,0.16,0.16,1515.7,1515.7,0,1,3,1563
117,4335,48,1.0,1020.0,1,3.0,1905.79,1185.76,1764.06,9259.98,1680.43,446.64,9122.52,1905.45,2481.69,1648.49,0,1,2,220
118,649,56,0.0,180.0,1,0.0,70.97,85.26,4458.24,779.54,1386.34,29668.13,1400.63,44785.27,84.77,3132.17,1,1,3,2640
119,1323,65,2.0,834.0,3,4.0,5945.69,6330.93,9894.37,12100.4,30.17,29.66,1269.08,7245.34,6223.21,10688.05,0,1,1,3169
120,1455,40,2.0,65.0,2,63.0,1100.97,1636.97,6221.02,5432.18,0.47,0.47,536.47,911.39,1257.45,2082.78,1,1,4,170
121,2919,66,1.0,1020.0,1,0.0,20452.17,48883.19,57415.13,16768.78,382.8,5910.64,31358.79,21735.89,27160.15,55694.76,1,1,1,15
122,1126,37,0.0,156.0,2,174.0,3097.47,3009.86,3042.97,3381.31,0.34,0.34,0.34,0.34,3067.26,3014.47,1,0,3,2385
123,783,58,1.0,1020.0,2,0.0,2123.8,511.7,1681.09,1344.97,2417.34,464.49,1448.1,2258.75,1467.89,857.11,0,0,3,604
124,2228,68,0.0,1180.0,3,31.0,2101.47,1681.47,1720.19,865.94,0.27,0.27,0.27,0.27,1797.34,1681.47,0,1,1,1368
125,2301,34,0.0,1096.0,3,49.0,5899.01,6327.58,5085.83,2729.45,0.11,428.69,428.69,0.11,5943.34,5926.66,0,0,3,1169
126,1964,71,0.0,334.0,2,96.0,844.46,844.46,3459.95,6149.84,0.07,0.07,0.07,1167.89,844.46,1002.39,1,1,1,1822
127,992,46,2.0,1298.0,3,14.0,2409.49,2531.36,3444.59,4213.89,122.03,122.03,243.9,1672.47,2409.49,3660.94,0,1,2,2509
128,2658,43,3.0,1598.0,2,30.0,5182.72,5390.45,5085.21,5235.58,0.41,886.13,0.41,0.41,5341.82,5089.71,0,1,3,964
129,5691,66,0.0,1020.0,1,7.0,6685.16,13549.22,12790.33,15463.19,2201.54,13495.49,29015.61,13935.28,12939.47,12426.54,0,1,3,146
130,1703,52,0.0,630.0,3,26.0,9474.09,5902.67,7161.79,10650.8,6429.01,0.44,2857.59,143.3,9523.36,5916.49,0,1,3,1910
131,3425,43,2.0,1020.0,3,32.0,1460.15,2189.98,1930.66,4036.99,0.13,8742.99,1105.96,3900.13,1872.19,1716.76,0,1,2,1952
132,1809,31,1.0,138.0,3,31.0,7020.3,7020.3,7020.3,6975.83,0.16,0.16,0.16,0.16,7020.3,7020.3,0,0,3,1417
133,615,3,0.0,1232.0,2,31.0,1863.74,1863.74,1863.74,1854.58,0.64,0.64,0.64,0.64,1863.74,1863.74,0,0,4,1917
134,5290,45,0.0,630.0,1,6.0,2189.03,1180.95,2095.61,4133.01,1038.1,3043.03,29.69,4764.47,1882.94,1564.02,0,1,3,35
135,752,41,0.0,271.0,2,23.0,6212.04,6126.62,6108.5,5849.9,91.04,91.04,5.61,4.91,6198.31,6109.39,0,0,3,2663
136,1476,35,0.0,572.0,3,102.0,1072.56,1072.56,1994.21,1781.4,0.21,0.21,0.21,1428.79,1072.56,2408.96,0,0,3,2071
137,4237,41,2.0,1020.0,3,3.0,5026.63,4904.45,3750.77,6400.35,2426.9,2285.04,1629.92,1611.09,3942.88,3766.02,0,1,3,81
138,998,39,0.0,241.0,2,28.0,1570.66,1682.95,4509.4,4438.01,21.84,0.41,91.95,20.44,1665.33,3255.39,0,1,3,61
139,5905,49,0.0,1096.0,2,40.0,5796.61,7398.11,9804.13,4836.96,0.17,412.88,857.31,1285.89,6786.5,9262.38,0,0,3,470
140,1525,30,0.0,142.0,2,164.0,1642.73,1638.88,1638.54,2879.81,0.54,0.54,0.54,0.54,1642.6,1638.88,0,1,3,1697
141,1039,30,0.0,409.0,2,110.0,2348.97,2348.97,3645.54,7706.6,0.2,0.2,0.2,3285.91,2348.97,3049.5,0,0,3,617
142,1138,25,2.0,1154.0,3,9.0,314.23,2.04,2205.76,2373.25,1159.94,5088.96,1326.33,5876.33,207.61,613.69,1,1,3,1490
143,541,42,0.0,479.0,3,10.0,279.79,275.19,2054.35,2970.87,62.01,62.09,114.56,43.13,284.82,251.74,1,0,3,215
144,606,45,0.0,409.0,2,0.0,2357.64,1527.79,1537.19,3881.45,7058.77,1364.71,262.31,1201.86,2383.83,527.09,0,1,3,1755
145,826,74,0.0,1032.0,3,31.0,16917.74,16917.74,16917.74,16805.55,0.54,0.54,0.54,0.54,16917.74,16917.74,0,1,1,357
146,2909,28,0.0,32.0,3,46.0,4689.26,4689.26,4597.46,4302.62,0.09,194.11,0.09,0.09,4689.26,4607.89,0,1,3,736
147,1395,28,0.0,146.0,2,14.0,3725.73,1660.06,2233.48,4640.59,185.77,2257.2,726.49,3128.63,2974.86,1844.77,0,1,3,1518
148,692,34,0.0,1416.0,2,231.0,7634.87,7968.58,7951.54,8311.28,0.16,0.16,619.59,48.16,7850.89,7977.87,0,1,3,485
149,3280,49,0.0,409.0,1,27.0,3158.08,4334.08,3924.89,4328.36,4286.36,6572.07,0.64,0.64,3763.64,4236.98,1,0,3,835
150,822,40,0.0,243.0,2,3.0,2404.56,258.02,3978.78,3041.39,2143.13,5143.13,0.27,14285.99,827.07,4705.02,0,0,2,2070
151,1971,32,0.0,485.0,3,87.0,2059.04,2103.95,2123.99,1975.34,0.61,0.61,45.53,251.7,2063.68,2112.77,0,1,2,1304
152,504,39,0.0,1477.0,2,35.0,5718.2,6018.2,6869.09,5349.45,0.31,714.6,1578.89,2869.77,5764.26,6529.73,0,1,2,650
153,1488,44,0.0,1046.0,2,86.0,6888.19,6888.19,6995.72,7140.52,0.69,0.69,0.69,0.69,6888.19,6888.19,0,1,3,1045
154,4002,52,0.0,1020.0,2,0.0,8836.28,4049.45,3016.82,3336.27,6232.31,0.19,174.75,174.41,3208.01,3155.38,0,0,2,81
155,2468,36,0.0,1525.0,3,48.0,1471.2,1861.02,1664.98,1513.34,0.53,929.1,350.69,0.53,1701.32,1986.71,0,0,3,603
156,2642,51,0.0,751.0,2,31.0,3712.09,3712.09,3712.09,5012.75,0.36,0.36,0.36,0.36,3712.09,3712.09,0,0,2,125
157,853,83,0.0,1020.0,1,129.0,0.51,0.51,2004.84,10440.1,0.51,0.51,0.51,0.51,0.51,0.51,1,0,1,606
158,1683,23,0.0,1096.0,3,61.0,10657.76,10657.76,10528.72,9696.13,0.01,0.01,0.01,0.01,10657.76,10657.76,0,0,4,339
159,2609,52,0.0,1046.0,3,205.0,3278.11,3529.14,3498.9,3934.21,0.56,0.56,243.41,0.56,3410.77,3529.14,0,1,2,91
160,518,49,0.0,1043.0,2,3.0,4003.75,3303.75,3348.25,3311.84,1057.36,0.21,357.36,0.21,3437.24,3303.75,0,0,3,1781
161,592,29,0.0,146.0,2,359.0,23847.85,23967.13,23527.0,21781.23,0.01,0.01,119.3,0.01,23872.53,23967.13,0,0,3,2481
162,2960,46,2.0,409.0,3,3.0,1633.2,761.77,1494.99,2125.05,714.37,0.09,0.09,1214.37,1042.07,1466.84,0,1,3,1433
163,606,31,0.0,1494.0,3,257.0,11651.82,11651.82,11651.82,11580.19,0.59,0.59,0.59,0.59,11651.82,11651.82,1,0,3,1463
164,4722,63,3.0,1020.0,3,21.0,14901.34,1237.89,3517.11,5806.24,282.99,512.06,1048.36,40.61,5434.09,1082.88,0,1,3,130
165,2491,26,0.0,146.0,1,6.0,2354.29,3289.97,3352.04,4172.94,2.36,0.64,647.28,304.37,2725.9,3497.39,0,1,2,72
166,1449,43,2.0,1096.0,2,6.0,29599.74,1689.76,6164.41,1833.96,81428.59,2142.87,758.69,7901.54,13261.59,2924.04,0,1,3,1139
167,4367,35,0.0,1020.0,1,132.0,1799.94,1188.93,1473.55,6306.04,0.29,0.29,5991.1,5728.86,849.3,2077.78,0,1,2,4
168,3824,75,0.0,38.0,2,209.0,10309.02,10309.02,10309.02,10244.15,0.56,0.56,0.56,0.56,10309.02,10309.02,0,1,1,768
169,1576,39,0.0,146.0,3,53.0,4970.13,4385.5,3957.34,4801.31,0.54,261.28,354.76,1207.79,4072.15,3641.62,0,0,2,1771
170,1571,31,0.0,1096.0,2,31.0,5654.08,5724.63,5726.95,5899.34,0.26,0.26,0.26,0.26,5656.52,5726.9,0,1,2,1768
171,2800,64,0.0,1181.0,2,24.0,7154.35,5430.54,5842.56,3667.74,1497.44,1497.44,298.63,961.88,6817.38,5577.67,0,0,3,173
172,711,29,0.0,582.0,2,102.0,2842.3,2842.3,5406.63,5529.78,0.24,0.24,0.24,3974.96,2842.3,6560.58,1,0,3,577
173,1241,48,0.0,575.0,2,24.0,1404.0,1151.06,1667.1,1422.28,2571.44,0.78,24.6,236.5,1662.63,1265.3,0,0,3,557
174,3146,49,0.0,162.0,3,77.0,1898.54,1927.11,1763.19,806.12,0.51,0.51,0.51,0.51,1918.24,1946.81,0,1,3,281
175,252,55,0.0,575.0,2,171.0,43211.61,43211.61,43211.61,40025.33,0.47,0.47,0.47,0.47,43211.61,43211.61,0,0,3,2830
176,4970,37,0.0,223.0,2,95.0,1739.81,1739.81,1739.81,1702.25,0.1,0.1,0.1,0.1,1739.81,1739.81,0,1,3,174
177,3736,44,0.0,965.0,3,3.0,2462.65,2283.09,1889.2,1639.6,677.0,846.97,539.47,625.34,2035.26,1711.8,0,0,3,346
178,2798,36,0.0,1020.0,1,7.0,2630.36,3604.13,3716.69,3385.48,285.91,285.91,1259.68,1105.91,3078.28,3917.2,0,0,3,530
